Playlist ID	Tilte	Playlist url	Genre	Likes count	Repost count	Track Count	TrackIDs	Creator ID	Creator name	user url
606887802	Lucq - Discover, Disturb, Defeat	https://soundcloud.com/wearedirtysoul/sets/lucqdiscoverdisturbdefeat	Electronic	213	68.0	5	502500963 502500954 502500951 502500948 502500936 	114645390	Dirty Soul Music	https://soundcloud.com/wearedirtysoul
629565267	Gold/Shade - Not Alone (ft. Neenah)	https://soundcloud.com/beyourselfmusic/sets/moody-electronic-eargasm-for	Moody Electronic	1	0.0	1	512689002 	633994	Be Yourself Music	https://soundcloud.com/beyourselfmusic
635052456	Elle Hollis - Luxury [Be Yourself Music]	https://soundcloud.com/beyourselfmusic/sets/elle-hollis-luxury-be-yourself	Pop	5	1.0	1	519609510 	633994	Be Yourself Music	https://soundcloud.com/beyourselfmusic
653641872	Lulleaux - Be The Same [Be Yourself Music]	https://soundcloud.com/beyourselfmusic/sets/out-now-lulleaux-be-the-same	Dance	4	0.0	1	533811294 	633994	Be Yourself Music	https://soundcloud.com/beyourselfmusic
685705068	Majestique - How U Been (ft. Miles Hi) [Dirty Soul Music]	https://soundcloud.com/beyourselfmusic/sets/out-now-dirty-soul	Pop	1	1.0	1	556360656 	633994	Be Yourself Music	https://soundcloud.com/beyourselfmusic
687692592	Lulleaux & Melsen - Fallin' Ft. Twan Ray [Be Yourself Music]	https://soundcloud.com/beyourselfmusic/sets/lulleaux-melsen-fallin-ft-twan-ray	Dance & EDM	4	1.0	1	556767789 	633994	Be Yourself Music	https://soundcloud.com/beyourselfmusic
693692142	TW3LV feat. Cimo Fränkel - Picture Of Us (Hoved Remix)[Be Yourself Music]	https://soundcloud.com/beyourselfmusic/sets/tw3lv-feat-cimo-frankel	Dance & EDM	3	2.0	1	560327388 	633994	Be Yourself Music	https://soundcloud.com/beyourselfmusic
702076344	The Galaxy - Hero (feat. JVZEL) [Big & Dirty Records]	https://soundcloud.com/beyourselfmusic/sets/the-galaxy-hero-big-dirty	Trap	2	1.0	1	526557369 	633994	Be Yourself Music	https://soundcloud.com/beyourselfmusic
718995159	Bakermat - Trouble (feat. Albert Gold)	https://soundcloud.com/beyourselfmusic/sets/bakermat-trouble-feat-albert		9	2.0	1	579570714 	633994	Be Yourself Music	https://soundcloud.com/beyourselfmusic
721837965	Johan Gielen - Say My Name [High Contrast Recordings]	https://soundcloud.com/highcontrastrecordings/sets/johan-gielen-say-my-name	Trance	20	9.0	3	581618862 583339074 582224316 	85334306	High Contrast Recordings	https://soundcloud.com/highcontrastrecordings
724062807	Lulleaux - Break Loose (feat. NEIMY)[Be Yourself Music]	https://soundcloud.com/beyourselfmusic/sets/lulleaux-break-loose-feat	Dance & EDM	13	8.0	1	583364805 	633994	Be Yourself Music	https://soundcloud.com/beyourselfmusic
740673489	Marco V - Simulated (Estiva Remix)	https://soundcloud.com/beyourselfmusic/sets/marco-v-simulated-estiva-remix		11	3.0	1	594145842 	633994	Be Yourself Music	https://soundcloud.com/beyourselfmusic
765313479	Charly Lownoise & Re-Style feat. Ricardo Moreno - City Streets	https://soundcloud.com/beyourselfmusic/sets/city-streets	Happy Hardcore	48	10.0	3	610720851 610733523 610735821 	633994	Be Yourself Music	https://soundcloud.com/beyourselfmusic
768087579	Bakermat - Learn To Lose (feat. Alex Clare)	https://soundcloud.com/beyourselfmusic/sets/bakermat-learn-to-lose-feat	Dance & EDM	5	0.0	1	611666814 	633994	Be Yourself Music	https://soundcloud.com/beyourselfmusic
770309334	Lulleaux - Stuck In The Middle (feat. Elle Hollis)	https://soundcloud.com/beyourselfmusic/sets/lulleaux-stuck-in-the-middle	Dance & EDM	3	0.0	1	611109894 	633994	Be Yourself Music	https://soundcloud.com/beyourselfmusic
775804101	The Best Of Orlando Voorn	https://soundcloud.com/beyourselfmusic/sets/the-best-of-orlando-voorn	The Best Of Orlando Voorn	9	1.0	25	618102300 618102123 618232791 618101739 618102072 618233946 618101361 618233592 618101376 618102282 618101631 618101307 618102153 618101391 618101817 618101886 618101721 618102327 618101523 618101676 618101331 618101703 618102042 618101421 618101475 	633994	Be Yourself Music	https://soundcloud.com/beyourselfmusic
788050092	Ibiza Trance 2019 Exclusives [High Contrast Recordings]	https://soundcloud.com/highcontrastrecordings/sets/ibiza-trance-2019-exclusives	Trance	8	2.0	3	625889385 625889382 625889379 	85334306	High Contrast Recordings	https://soundcloud.com/highcontrastrecordings
792087600	Lulleaux & Melsen - Fallin' (feat. Twan Ray) (Club Edit)	https://soundcloud.com/beyourselfmusic/sets/lulleaux-melsen-fallin-feat-twan-ray-club-edit	Dance & EDM	1	1.0	1	627353790 	633994	Be Yourself Music	https://soundcloud.com/beyourselfmusic
797378154	LNY TNZ x Ruthless - Summer Is Here	https://soundcloud.com/beyourselfmusic/sets/lny-tnz-x-ruthless-summer-is	FVCK GENRES	1	2.0	2	628354086 636517710 	633994	Be Yourself Music	https://soundcloud.com/beyourselfmusic
818020782	Basto - Turn It Around	https://soundcloud.com/beyourselfmusic/sets/basto-turn-it-around	Dance & EDM	1	2.0	1	641260392 	633994	Be Yourself Music	https://soundcloud.com/beyourselfmusic
818022252	Dolf - Back To You	https://soundcloud.com/beyourselfmusic/sets/dolf-back-to-you	Dance & EDM	1	0.0	1	639981453 	633994	Be Yourself Music	https://soundcloud.com/beyourselfmusic
837848204	Lulleaux - Stuck In The Middle (feat. Elle Hollis) (Club Edit)	https://soundcloud.com/beyourselfmusic/sets/lulleaux-stuck-in-the-middle-1		4	1.0	1	652912424 	633994	Be Yourself Music	https://soundcloud.com/beyourselfmusic
